order_id,date,customer,city,product,category,quantity,price
1,2024-02-29,Priya,Hyderabad,Keyboard,Accessories,5,1500
2,2024-01-24,Priya,Delhi,Headphones,Electronics,3,3000
3,2024-08-04,Rahul,Bangalore,Headphones,Electronics,4,3000
4,2024-01-12,Arjun,Mumbai,Phone,Electronics,2,25000
5,2024-10-08,Sneha,Delhi,Headphones,Electronics,3,3000
6,2024-06-24,Aman,Delhi,Headphones,Electronics,2,3000
7,2024-06-14,Sneha,Hyderabad,Tablet,Electronics,5,20000
8,2024-12-05,Sneha,Chennai,Headphones,Electronics,4,3000
9,2024-03-23,Arjun,Chennai,Headphones,Electronics,3,3000
10,2024-12-12,Aman,Delhi,Keyboard,Accessories,5,1500
11,2024-05-29,Priya,Chennai,Phone,Electronics,5,25000
12,2024-06-02,Priya,Hyderabad,Phone,Electronics,5,25000
13,2024-06-15,Sneha,Bangalore,Laptop,Electronics,1,60000
14,2024-12-10,Sneha,Hyderabad,Tablet,Electronics,5,20000
15,2024-02-03,Sneha,Delhi,Tablet,Electronics,2,20000
16,2024-01-16,Arjun,Chennai,Phone,Electronics,4,25000
17,2024-03-31,Sneha,Hyderabad,Tablet,Electronics,5,20000
18,2024-03-08,Rahul,Hyderabad,Phone,Electronics,2,25000
19,2024-05-13,Rahul,Chennai,Phone,Electronics,3,25000
20,2024-08-28,Rahul,Hyderabad,Phone,Electronics,2,25000
21,2024-02-29,Aman,Hyderabad,Keyboard,Accessories,1,1500
22,2024-08-16,Arjun,Chennai,Keyboard,Accessories,2,1500
23,2024-10-17,Arjun,Chennai,Headphones,Electronics,3,3000
24,2024-03-04,Arjun,Mumbai,Laptop,Electronics,1,60000
25,2024-09-14,Aman,Chennai,Phone,Electronics,5,25000
26,2024-03-19,Rahul,Hyderabad,Tablet,Electronics,1,20000
27,2024-08-04,Rahul,Mumbai,Laptop,Electronics,2,60000
28,2024-02-22,Arjun,Delhi,Laptop,Electronics,5,60000
29,2024-05-05,Aman,Bangalore,Laptop,Electronics,1,60000
30,2024-03-14,Sneha,Chennai,Phone,Electronics,2,25000
31,2024-05-12,Sneha,Delhi,Laptop,Electronics,4,60000
32,2024-08-16,Arjun,Bangalore,Headphones,Electronics,5,3000
33,2024-12-07,Rahul,Mumbai,Tablet,Electronics,1,20000
34,2024-02-15,Rahul,Delhi,Headphones,Electronics,4,3000
35,2024-01-28,Sneha,Chennai,Phone,Electronics,1,25000
36,2024-01-16,Arjun,Chennai,Keyboard,Accessories,4,1500
37,2024-10-29,Aman,Bangalore,Headphones,Electronics,5,3000
38,2024-08-03,Sneha,Hyderabad,Tablet,Electronics,3,20000
39,2024-01-11,Sneha,Hyderabad,Headphones,Electronics,5,3000
40,2024-11-09,Rahul,Hyderabad,Keyboard,Accessories,3,1500
41,2024-10-11,Priya,Chennai,Tablet,Electronics,3,20000
42,2024-05-19,Arjun,Hyderabad,Tablet,Electronics,5,20000
43,2024-05-21,Aman,Chennai,Laptop,Electronics,4,60000
44,2024-05-13,Priya,Bangalore,Laptop,Electronics,5,60000
45,2024-11-06,Rahul,Hyderabad,Tablet,Electronics,2,20000
46,2024-03-10,Rahul,Mumbai,Laptop,Electronics,4,60000
47,2024-10-16,Rahul,Delhi,Headphones,Electronics,5,3000
48,2024-04-24,Priya,Chennai,Laptop,Electronics,3,60000
49,2024-11-08,Arjun,Mumbai,Laptop,Electronics,1,60000
50,2024-08-11,Arjun,Mumbai,Keyboard,Accessories,2,1500
51,2024-08-25,Aman,Hyderabad,Keyboard,Accessories,2,1500
52,2024-05-18,Priya,Delhi,Keyboard,Accessories,4,1500
53,2024-05-01,Sneha,Mumbai,Phone,Electronics,5,25000
54,2024-10-05,Aman,Delhi,Laptop,Electronics,2,60000
55,2024-01-26,Priya,Hyderabad,Keyboard,Accessories,3,1500
56,2024-12-21,Arjun,Mumbai,Tablet,Electronics,2,20000
57,2024-08-05,Rahul,Bangalore,Tablet,Electronics,1,20000
58,2024-05-26,Rahul,Delhi,Keyboard,Accessories,3,1500
59,2024-11-19,Arjun,Mumbai,Tablet,Electronics,5,20000
60,2024-06-27,Rahul,Hyderabad,Laptop,Electronics,4,60000
61,2024-03-07,Sneha,Chennai,Headphones,Electronics,4,3000
62,2024-09-30,Rahul,Bangalore,Tablet,Electronics,5,20000
63,2024-12-15,Arjun,Bangalore,Headphones,Electronics,2,3000
64,2024-01-15,Aman,Hyderabad,Keyboard,Accessories,3,1500
65,2024-01-19,Aman,Chennai,Tablet,Electronics,3,20000
66,2024-08-15,Arjun,Chennai,Headphones,Electronics,2,3000
67,2024-05-25,Rahul,Bangalore,Laptop,Electronics,3,60000
68,2024-03-10,Sneha,Hyderabad,Headphones,Electronics,1,3000
69,2024-08-02,Priya,Chennai,Keyboard,Accessories,3,1500
